Album_ID,Name,Total_Tracks,Release_Date,Spotify_Url,Image_Url,Artist_ID
4DvNMpnlo9GoWiTJWMfRAA,Ogo Chirabedanar Sathi - Hemanta Mukherjee,7,2022-05-04,https://open.spotify.com/album/4DvNMpnlo9GoWiTJWMfRAA,https://i.scdn.co/image/ab67616d0000b27308b9a7b1268e51e9f8e21794,02Um2HIOrUdsy3wqPBZwsj
2YOOgRzDIgOp0kdZACTVFc,Olo Soi Dekhey Jarey Dekhey Ja,17,2020-09-30,https://open.spotify.com/album/2YOOgRzDIgOp0kdZACTVFc,https://i.scdn.co/image/ab67616d0000b2732c2ff2980f2fc8050e76084e,02Um2HIOrUdsy3wqPBZwsj
3aXxkiwm7EBXRXiM3xMcpX,Eso Amar Ghare,18,2020-01-06,https://open.spotify.com/album/3aXxkiwm7EBXRXiM3xMcpX,https://i.scdn.co/image/ab67616d0000b273782940db73c123e69c0ce5e7,02Um2HIOrUdsy3wqPBZwsj
0ixRvfbmnmd4hBYCDzMljp,Moli (Original Motion Picture Soundtrack),8,2011-04-01,https://open.spotify.com/album/0ixRvfbmnmd4hBYCDzMljp,https://i.scdn.co/image/ab67616d0000b273c8621beec9c822ac0b7224d0,02Um2HIOrUdsy3wqPBZwsj
5b6jzg1UcSFNheady0Md24,Saikat Mukherjee With His Golden Harmonica,37,2008-11-01,https://open.spotify.com/album/5b6jzg1UcSFNheady0Md24,https://i.scdn.co/image/ab67616d0000b27340580f09b4a50b06c66d528e,02Um2HIOrUdsy3wqPBZwsj
7osEmuwikTeisIEXNKIzf3,"Tomar Akash Tomar Batash,Vol. 1",9,2007-10-31,https://open.spotify.com/album/7osEmuwikTeisIEXNKIzf3,https://i.scdn.co/image/ab67616d0000b273c06f5d23ffc7936be025bd1a,02Um2HIOrUdsy3wqPBZwsj
712nuHwW6g5yIHNkJWwpsM,Surey Surey Sur Melate Volume 2 Hemanta Mukherjee,8,2007-01-03,https://open.spotify.com/album/712nuHwW6g5yIHNkJWwpsM,https://i.scdn.co/image/ab67616d0000b273294df5e53a806fa2db001422,02Um2HIOrUdsy3wqPBZwsj
1WiUklxZPIgCE45gS1zprr,The Unforgettable Hemant Kumar,13,2002-10-26,https://open.spotify.com/album/1WiUklxZPIgCE45gS1zprr,https://i.scdn.co/image/ab67616d0000b2731e8891993d70ce22fa4be096,02Um2HIOrUdsy3wqPBZwsj
7Icq3loS8hTgGQdcH8RXfl,Golden Moments - Ab Yaad Hamen Kyon Aate Ho,12,1999-08-27,https://open.spotify.com/album/7Icq3loS8hTgGQdcH8RXfl,https://i.scdn.co/image/ab67616d0000b2738ee4c91c044db0acf1e6ff18,02Um2HIOrUdsy3wqPBZwsj
2iyLJpy7VCnmUOaUUEgjpt,"Sanchayan,Vol. 2 Hemanta Mukherjee",10,1998-03-05,https://open.spotify.com/album/2iyLJpy7VCnmUOaUUEgjpt,https://i.scdn.co/image/ab67616d0000b27374a00cf2987fde7e0d2b6198,02Um2HIOrUdsy3wqPBZwsj
