artist_id,artist_name,genres,popularity,artist_uri,followers,spotify_url,image_url,language
61JrslREXq98hurYL2hYoc,Lata Mangeshkar,"['classic bollywood', 'desi pop', 'filmi', 'lata']",72,spotify:artist:61JrslREXq98hurYL2hYoc,6162896,https://open.spotify.com/artist/61JrslREXq98hurYL2hYoc,https://i.scdn.co/image/ab6761610000e5eba0199b159c0c5a9f62333d32,hindi
66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,"['contemporary country', 'country', 'country dawn']",72,spotify:artist:66lH4jAE7pqPlOlzUKbwA0,3341819,https://open.spotify.com/artist/66lH4jAE7pqPlOlzUKbwA0,https://i.scdn.co/image/ab6761610000e5ebd155caf6e83268ad61be09cd,english
6KImCVD70vtIoJWnq6nGn3,Harry Styles,['pop'],91,spotify:artist:6KImCVD70vtIoJWnq6nGn3,23507713,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,english
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,"['dance pop', 'pop', 'uk pop']",89,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,36384905,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,https://i.scdn.co/image/ab6761610000e5ebd42a27db3286b58553da8858,english
6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,"['contemporary country', 'country', 'pop', 'texas country']",74,spotify:artist:6WY7D3jk8zTrHtmkqqo5GI,685284,https://open.spotify.com/artist/6WY7D3jk8zTrHtmkqqo5GI,https://i.scdn.co/image/ab6761610000e5ebf88c7e94699df538db077320,english
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"['pop', 'uk pop']",91,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,102735594,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,https://i.scdn.co/image/ab6761610000e5eb12a2ef08d00dd7451a6dbed6,english
6geC8EbDc3ifaSAbx3RESQ,Tape Machines,['scandipop'],48,spotify:artist:6geC8EbDc3ifaSAbx3RESQ,14225,https://open.spotify.com/artist/6geC8EbDc3ifaSAbx3RESQ,https://i.scdn.co/image/ab6761610000e5eb8c1d3f8aae268d060fc262c1,english
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"['art pop', 'electropop', 'pop']",89,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,69086185,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,https://i.scdn.co/image/ab6761610000e5ebd8b9980db67272cb4d2c3daf,english
6vWDO969PvNqNYHIOW5v0m,Beyoncé,"['dance pop', 'pop', 'r&b']",88,spotify:artist:6vWDO969PvNqNYHIOW5v0m,32205100,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,https://i.scdn.co/image/ab6761610000e5eb676338904deb80cffb568216,english
73Np75Wv2tju61Eo9Zw4IR,Idina Menzel,"['hollywood', 'show tunes']",69,spotify:artist:73Np75Wv2tju61Eo9Zw4IR,399361,https://open.spotify.com/artist/73Np75Wv2tju61Eo9Zw4IR,https://i.scdn.co/image/ab6761610000e5eb408a975888e8eeea2aa8e604,english
7H55rcKCfwqkyDFH9wpKM6,Christina Perri,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",71,spotify:artist:7H55rcKCfwqkyDFH9wpKM6,3373816,https://open.spotify.com/artist/7H55rcKCfwqkyDFH9wpKM6,https://i.scdn.co/image/ab6761610000e5eb9bbbc124c9f0f75af892d97d,english
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,"['canadian pop', 'dance pop', 'pop', 'viral pop']",84,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,39316543,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,https://i.scdn.co/image/ab6761610000e5eb46e7a06fa6dfefaed6a3f0db,english
7oavKrnYbTZPAPq7zCuipM,Paige O'Hara,['movie tunes'],48,spotify:artist:7oavKrnYbTZPAPq7zCuipM,7881,https://open.spotify.com/artist/7oavKrnYbTZPAPq7zCuipM,https://i.scdn.co/image/04b70356aa016a0b99be4b7402c8637e923cee93,english
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,['electro house'],80,spotify:artist:7vk5e3vY1uw9plTHJAMwjN,35247710,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN,https://i.scdn.co/image/ab6761610000e5eb29da45fd16f4b249be105618,english
